Total population,Gross rent as a percentage of household income,Median household income (dollars),Percent below poverty line,STATE,zipcode
600.0,28.0,57895.0,11.0,54,25245
964.0,16.0,27200.0,14.4,54,25268
1700.0,42.0,38313.0,20.5,54,25286
6764.0,912.0,58820.0,9.5,54,25303
10964.0,2309.0,40920.0,18.7,54,25311
11062.0,783.0,70019.0,6.1,54,25419
2821.0,119.0,57339.0,8.8,54,25434
1193.0,93.0,122557.0,3.7,54,25446
598.0,91.0,19922.0,23.8,54,25106
1198.0,25.0,49056.0,13.0,54,25501
776.0,73.0,36923.0,6.3,54,25507
2042.0,60.0,46597.0,6.8,54,25515
1497.0,0.0,60474.0,13.0,54,25520
2796.0,34.0,62231.0,5.5,54,25535
1174.0,26.0,63844.0,12.2,54,25564
5565.0,705.0,47973.0,15.6,54,25601
1531.0,72.0,42679.0,20.8,54,25606
1108.0,44.0,47589.0,14.5,54,25608
706.0,44.0,32945.0,17.2,54,25617
1626.0,129.0,34583.0,17.3,54,25621
193.0,17.0,31838.0,61.5,54,25628
374.0,53.0,17431.0,48.4,54,25632
282.0,19.0,20547.0,74.2,54,25644
1471.0,63.0,35602.0,30.3,54,25671
708.0,51.0,55938.0,23.0,54,25817
457.0,197.0,36544.0,24.4,54,25818
544.0,0.0,30052.0,34.0,54,25666
215.0,0.0,28224.0,18.5,54,25650
2739.0,132.0,63176.0,4.7,54,26541
344.0,0.0,16496.0,76.0,54,26627
307.0,0.0,51154.0,0.0,54,26629
400.0,0.0,58235.0,0.0,54,26676
12604.0,961.0,47920.0,12.2,54,26726
423.0,0.0,52833.0,0.0,54,26731
6049.0,584.0,51927.0,16.3,54,26753
6655.0,577.0,41759.0,13.2,54,26757
672.0,24.0,34458.0,11.6,54,26804
564.0,38.0,38281.0,0.0,54,26855
41198.0,4446.0,50467.0,6.0,54,26003
1562.0,237.0,35851.0,9.6,54,26031
6362.0,410.0,55665.0,9.3,54,26150
3325.0,203.0,49313.0,13.6,54,26159
2341.0,109.0,44309.0,17.5,54,26180
2744.0,51.0,64946.0,9.4,54,26184
268.0,0.0,70324.0,12.2,54,26224
821.0,11.0,50909.0,2.5,54,26269
622.0,0.0,53476.0,0.0,54,26278
883.0,40.0,39688.0,10.9,54,26294
2391.0,264.0,37500.0,9.5,37,28119
4203.0,437.0,45397.0,9.9,54,26034
6487.0,574.0,54639.0,9.0,54,26037
20764.0,2457.0,50036.0,8.7,54,26062
4291.0,242.0,45000.0,13.3,54,26143
1977.0,97.0,37813.0,13.5,54,26149
19919.0,1860.0,43183.0,14.7,54,26201
308.0,0.0,51964.0,4.3,54,26267
636.0,56.0,40625.0,4.0,54,26292
532.0,14.0,42292.0,8.5,54,26320
2576.0,122.0,52955.0,16.3,54,26347
4203.0,118.0,69033.0,3.6,54,26385
922.0,0.0,64565.0,0.0,54,26411
1055.0,76.0,39758.0,7.4,54,26419
438.0,20.0,48194.0,20.6,54,26430
1302.0,138.0,39792.0,3.1,54,26440
1379.0,103.0,41250.0,8.6,54,26447
2085.0,150.0,47340.0,21.5,54,26519
41702.0,4036.0,51574.0,10.4,54,26554
3554.0,97.0,49016.0,5.3,54,26570
423.0,27.0,75000.0,26.0,54,26587
239.0,0.0,34722.0,0.0,54,26611
1103.0,86.0,53365.0,20.0,54,26623
2729.0,190.0,42318.0,11.4,54,26624
349.0,0.0,78125.0,0.0,54,26443
379.0,6.0,55714.0,11.8,54,26562
792.0,29.0,48657.0,16.7,54,26621
2131.0,59.0,48929.0,8.4,54,26833
656.0,8.0,66154.0,13.3,54,26169
176.0,0.0,99375.0,0.0,54,26291
3158.0,52.0,85550.0,8.0,54,26408
606.0,35.0,47679.0,8.7,54,26705
256.0,23.0,43162.0,13.5,54,26707
3053.0,174.0,65924.0,5.3,54,26719
770.0,28.0,38397.0,0.0,54,26801
813.0,147.0,74485.0,9.5,54,26808
453.0,31.0,39792.0,27.4,54,26814
7080.0,1033.0,44840.0,11.8,54,26836
1220.0,28.0,57202.0,13.5,54,26374
5247.0,539.0,45878.0,14.7,54,26537
2258.0,83.0,59561.0,13.4,54,26710
728.0,0.0,52232.0,0.0,54,26716
869.0,45.0,40586.0,2.4,54,26717
1486.0,35.0,54400.0,7.5,54,26743
778.0,150.0,34737.0,17.8,54,26750
171.0,17.0,78095.0,0.0,54,26560
1887.0,186.0,60000.0,18.5,54,26335
189.0,31.0,30956.0,0.0,54,26254
437.0,0.0,34167.0,0.0,54,26563
1493.0,23.0,64554.0,0.4,54,26591
239.0,9.0,38375.0,13.3,54,26178
912.0,62.0,39333.0,9.4,54,26425
1216.0,65.0,62250.0,13.8,54,26559
302.0,0.0,19397.0,31.6,54,26631
590.0,48.0,52031.0,11.0,54,26030
6275.0,341.0,50078.0,11.2,54,26170
427.0,27.0,43056.0,4.3,42,17953
317.0,21.0,25833.0,35.2,54,26321
2685.0,565.0,31224.0,31.6,37,27890
11354.0,565.0,86250.0,6.1,37,27958
19713.0,5360.0,34477.0,23.1,37,27101
3194.0,55.0,59102.0,8.2,37,27283
57258.0,12962.0,39042.0,19.7,37,27834
413.0,30.0,53750.0,11.0,37,27873
4003.0,357.0,38145.0,16.7,37,27925
1205.0,113.0,58750.0,9.7,37,27973
34805.0,2482.0,53212.0,9.3,37,27205
30743.0,2781.0,57459.0,10.7,37,27332
25355.0,3818.0,91985.0,2.3,37,27517
20102.0,2606.0,106721.0,2.6,37,27518
56482.0,4969.0,133227.0,3.0,37,27519
12441.0,1402.0,103250.0,2.1,37,27523
25337.0,1194.0,90625.0,3.3,37,27527
23736.0,2076.0,45367.0,11.4,37,27537
23970.0,1119.0,109664.0,3.3,37,27539
14036.0,708.0,51771.0,6.8,37,27574
20281.0,5058.0,86404.0,2.9,37,27617
1152.0,59.0,162019.0,0.0,37,27709
46.0,18.0,38750.0,0.0,37,27825
44.0,0.0,27917.0,0.0,37,27861
316.0,25.0,55435.0,8.2,37,27879
146.0,18.0,50385.0,13.8,37,27881
184.0,30.0,22240.0,24.3,37,27978
26875.0,3251.0,48084.0,14.9,37,27577
1339.0,82.0,46250.0,20.7,37,27016
2900.0,268.0,44909.0,15.7,37,27326
2759.0,184.0,52891.0,5.5,37,27356
18323.0,2184.0,68542.0,7.0,37,27408
15593.0,1273.0,50911.0,13.4,37,27504
45542.0,6598.0,96913.0,3.7,37,27513
42387.0,3766.0,71008.0,6.0,37,27520
14819.0,1503.0,49406.0,14.7,37,27525
38940.0,5458.0,39672.0,20.3,37,27530
32492.0,5703.0,48113.0,10.0,37,27534
16522.0,3771.0,30960.0,22.4,37,27536
39675.0,2019.0,109404.0,3.1,37,27540
35800.0,7443.0,96830.0,5.5,37,27560
68491.0,5003.0,96588.0,3.5,37,27587
961.0,76.0,56300.0,35.3,37,27866
14217.0,1661.0,41466.0,12.2,37,27892
3568.0,114.0,34160.0,5.8,37,27924
1717.0,125.0,38672.0,7.8,37,27928
1879.0,158.0,55526.0,9.3,37,27935
4448.0,256.0,53487.0,13.5,37,27937
7696.0,1132.0,35423.0,17.5,37,27962
1319.0,19.0,35022.0,12.6,54,26234
7410.0,458.0,44929.0,12.0,37,27850
4293.0,492.0,35000.0,14.4,37,27871
3837.0,381.0,37188.0,12.4,37,27874
16651.0,2029.0,64430.0,7.1,42,17025
24858.0,3695.0,43701.0,16.6,37,28144
26965.0,3171.0,38740.0,19.6,37,28150
10415.0,537.0,52541.0,10.5,37,28168
59559.0,1668.0,125591.0,3.0,37,28173
48798.0,10947.0,52766.0,19.3,37,28205
42412.0,3720.0,62697.0,9.1,37,28214
17065.0,4340.0,40015.0,9.6,37,28307
13303.0,1670.0,51404.0,11.4,37,28315
4250.0,278.0,51786.0,0.0,37,28318
9233.0,916.0,45753.0,11.0,37,28320
10902.0,1300.0,29773.0,32.2,37,28333
9221.0,383.0,59101.0,6.0,37,28730
2599.0,319.0,108684.0,0.0,37,28480
26476.0,2338.0,54157.0,9.0,37,28715
17770.0,1736.0,49703.0,11.8,37,28716
3114.0,148.0,51328.0,5.1,37,28729
18107.0,1193.0,64659.0,4.9,37,28732
26557.0,3001.0,49205.0,13.1,37,28001
720.0,42.0,50163.0,14.1,37,28007
